epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.013,1.57755,2.4666,1.44302,0.53541,0.65701,0.54928,0.27163,1.50496,1.30263,1.40075,0.0003325,0.0003325,0.0003325
2,496.568,1.51462,1.55236,1.36915,0.63761,0.65207,0.64886,0.33182,1.50876,1.16886,1.45005,0.000665183,0.000665183,0.000665183
3,734.102,1.51876,1.40407,1.38522,0.63959,0.65678,0.67238,0.35437,1.49783,1.16893,1.43384,0.000995267,0.000995267,0.000995267
4,972.108,1.5112,1.32616,1.38579,0.6222,0.69708,0.68765,0.37455,1.45005,1.03401,1.38649,0.000991232,0.000991232,0.000991232
5,1211.88,1.48001,1.23313,1.36434,0.71695,0.72333,0.74477,0.4095,1.4284,0.90855,1.37328,0.000984449,0.000984449,0.000984449
6,1450.96,1.44218,1.17384,1.35064,0.6661,0.74815,0.73105,0.39715,1.4255,0.92133,1.37842,0.000975773,0.000975773,0.000975773
7,1690.35,1.43535,1.13224,1.34096,0.74188,0.7503,0.76529,0.42604,1.38967,0.84794,1.34895,0.000965239,0.000965239,0.000965239
8,1930.28,1.41287,1.09406,1.33286,0.75884,0.74229,0.77934,0.44082,1.3681,0.81057,1.32477,0.000952889,0.000952889,0.000952889
9,2169.25,1.40975,1.08178,1.3297,0.75548,0.73822,0.78456,0.45119,1.36337,0.81614,1.33107,0.000938772,0.000938772,0.000938772
10,2412.84,1.3975,1.05168,1.31487,0.72906,0.77158,0.78184,0.4498,1.34133,0.78981,1.31695,0.000922942,0.000922942,0.000922942
11,2651.58,1.38551,1.03073,1.31014,0.76097,0.77531,0.78892,0.44964,1.33655,0.78388,1.31033,0.000905463,0.000905463,0.000905463
12,2881.91,1.36651,1.00636,1.30609,0.78012,0.76623,0.80365,0.46856,1.30991,0.75646,1.30056,0.000886404,0.000886404,0.000886404
13,3116.87,1.37999,1.01444,1.31262,0.76221,0.79015,0.8095,0.4699,1.33533,0.74415,1.31478,0.000865839,0.000865839,0.000865839
14,3350.05,1.35606,0.98553,1.29316,0.74595,0.79804,0.81131,0.4693,1.33831,0.764,1.30172,0.000843851,0.000843851,0.000843851
15,3584.88,1.35846,0.9755,1.29885,0.78932,0.77966,0.81732,0.47675,1.31188,0.7275,1.2902,0.000820525,0.000820525,0.000820525
16,3817.25,1.33702,0.95899,1.28728,0.7554,0.79699,0.80771,0.47564,1.319,0.73053,1.30491,0.000795954,0.000795954,0.000795954
17,4053.19,1.33387,0.95071,1.28238,0.76128,0.80484,0.81903,0.47713,1.3149,0.71961,1.30298,0.000770234,0.000770234,0.000770234
18,4286.8,1.32737,0.94198,1.28103,0.76363,0.81302,0.8234,0.48537,1.29651,0.72025,1.2894,0.000743468,0.000743468,0.000743468
19,4526.71,1.32781,0.93245,1.27525,0.75643,0.81526,0.8242,0.48478,1.31243,0.702,1.29547,0.000715761,0.000715761,0.000715761
20,4762.87,1.31781,0.91939,1.27181,0.77629,0.80952,0.82861,0.49033,1.29743,0.70676,1.28275,0.000687222,0.000687222,0.000687222
21,4997.38,1.30365,0.90546,1.26785,0.78298,0.8064,0.8335,0.49498,1.29725,0.69392,1.28953,0.000657963,0.000657963,0.000657963
22,5234.24,1.31079,0.90438,1.26992,0.78768,0.8039,0.83153,0.49177,1.29427,0.69306,1.28454,0.000628101,0.000628101,0.000628101
23,5469.18,1.30669,0.89797,1.26772,0.77814,0.80757,0.82457,0.49278,1.29722,0.6984,1.28095,0.000597754,0.000597754,0.000597754
24,5703.07,1.29734,0.89096,1.26347,0.77998,0.81199,0.83582,0.49965,1.28407,0.68993,1.27244,0.00056704,0.00056704,0.00056704
25,5942.77,1.28817,0.87722,1.25349,0.78267,0.80868,0.83004,0.49795,1.28718,0.6827,1.27878,0.000536081,0.000536081,0.000536081
26,6184.48,1.28329,0.86539,1.25298,0.79249,0.81236,0.8362,0.50002,1.28525,0.67774,1.27526,0.000505,0.000505,0.000505
27,6422.77,1.28511,0.86865,1.25357,0.77891,0.82285,0.83756,0.49944,1.28892,0.67985,1.27349,0.000473919,0.000473919,0.000473919
28,6659.82,1.2703,0.85492,1.2486,0.79433,0.814,0.84234,0.50594,1.27467,0.66908,1.26879,0.00044296,0.00044296,0.00044296
29,6895.79,1.2696,0.84931,1.24821,0.78783,0.82402,0.84105,0.50741,1.28168,0.66462,1.27023,0.000412246,0.000412246,0.000412246
30,7135.33,1.26034,0.84068,1.23933,0.79021,0.82141,0.84369,0.50641,1.28004,0.66919,1.26531,0.000381899,0.000381899,0.000381899
31,7370.5,1.26166,0.83993,1.23902,0.79689,0.81847,0.84191,0.50757,1.27511,0.66001,1.2621,0.000352037,0.000352037,0.000352037
32,7602.76,1.25389,0.83816,1.23837,0.78098,0.82933,0.84032,0.50743,1.27014,0.66329,1.26415,0.000322778,0.000322778,0.000322778
33,7836.14,1.2502,0.82956,1.23852,0.80181,0.81742,0.84795,0.51098,1.27181,0.66034,1.26849,0.000294239,0.000294239,0.000294239
34,8072.67,1.24642,0.82173,1.23143,0.7891,0.83127,0.84592,0.5132,1.26003,0.65844,1.25853,0.000266532,0.000266532,0.000266532
35,8317.78,1.2432,0.82439,1.2338,0.78913,0.82624,0.84492,0.51333,1.26281,0.654,1.26033,0.000239766,0.000239766,0.000239766
36,8561.9,1.2397,0.81212,1.22723,0.78962,0.82793,0.84659,0.51214,1.26064,0.65562,1.25952,0.000214046,0.000214046,0.000214046
37,8799.93,1.22492,0.79949,1.22165,0.78638,0.83438,0.84953,0.51465,1.26188,0.65165,1.25904,0.000189475,0.000189475,0.000189475
38,9043.83,1.23396,0.80652,1.22857,0.79387,0.82615,0.84774,0.51511,1.2603,0.65075,1.25943,0.000166149,0.000166149,0.000166149
39,9283.25,1.2168,0.79534,1.21619,0.79729,0.82465,0.85005,0.5161,1.25914,0.64754,1.25402,0.000144161,0.000144161,0.000144161
40,9511.34,1.22775,0.79732,1.22331,0.79756,0.82621,0.84833,0.51577,1.25933,0.64491,1.25697,0.000123596,0.000123596,0.000123596
41,9742.37,1.222,0.70851,1.24535,0.79034,0.83502,0.84773,0.51233,1.25908,0.64733,1.25465,0.000104537,0.000104537,0.000104537
42,9965.97,1.2151,0.69874,1.23819,0.79835,0.82902,0.84931,0.51424,1.25856,0.64533,1.25409,8.70577e-05,8.70577e-05,8.70577e-05
43,10189.3,1.21154,0.69865,1.23814,0.79099,0.83324,0.8492,0.51653,1.25495,0.64296,1.25068,7.12282e-05,7.12282e-05,7.12282e-05
44,10412.3,1.20624,0.69575,1.2381,0.79815,0.82804,0.84974,0.51722,1.25441,0.64198,1.25402,5.71106e-05,5.71106e-05,5.71106e-05
45,10638,1.20007,0.68869,1.23181,0.79523,0.83384,0.85259,0.51785,1.25406,0.64279,1.25517,4.47606e-05,4.47606e-05,4.47606e-05
46,10864.4,1.20093,0.68854,1.23219,0.79581,0.8313,0.85024,0.51637,1.25433,0.64267,1.25533,3.4227e-05,3.4227e-05,3.4227e-05
47,11087.1,1.19871,0.68531,1.23201,0.79639,0.83361,0.85188,0.51739,1.25447,0.64262,1.25591,2.55513e-05,2.55513e-05,2.55513e-05
48,11304.2,1.19716,0.68324,1.23036,0.79458,0.83677,0.8508,0.51828,1.25406,0.64282,1.25613,1.87678e-05,1.87678e-05,1.87678e-05
49,11527.5,1.19723,0.68351,1.23037,0.79471,0.83611,0.85042,0.51797,1.25465,0.64271,1.2562,1.39032e-05,1.39032e-05,1.39032e-05
