epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,730.199,1.31439,1.32235,1.24393,0.70347,0.66724,0.70253,0.42272,1.27714,0.94595,1.39977,0.00998899,0.00332966,0.00998899,0.00332966,0.00998899,0.00332966,0.00998899,0.00332966
2,1369.27,1.28026,1.02647,1.21364,0.69173,0.6814,0.70226,0.40738,1.30734,0.97743,1.42269,0.0199695,0.00665649,0.0199695,0.00665649,0.0199695,0.00665649,0.0199695,0.00665649
3,1982.23,1.34013,1.09024,1.25221,0.61273,0.52919,0.5534,0.29803,1.6857,1.94334,1.7242,0.0298848,0.0099616,0.0298848,0.0099616,0.0298848,0.0099616,0.0298848,0.0099616
4,2585.36,1.34019,1.08044,1.26122,0.72915,0.67947,0.71698,0.41791,1.33484,0.94494,1.45287,0.0297825,0.0099275,0.0297825,0.0099275,0.0297825,0.0099275,0.0297825,0.0099275
5,3185.33,1.27542,0.97267,1.22163,0.72351,0.72952,0.75908,0.4591,1.29998,0.86546,1.43995,0.0296277,0.00987589,0.0296277,0.00987589,0.0296277,0.00987589,0.0296277,0.00987589
6,3782.15,1.22897,0.91684,1.20008,0.76168,0.72237,0.76337,0.46695,1.27493,0.83156,1.40711,0.0294397,0.00981323,0.0294397,0.00981323,0.0294397,0.00981323,0.0294397,0.00981323
7,4378.33,1.20319,0.88183,1.19477,0.76439,0.75061,0.7851,0.48302,1.25275,0.80802,1.40472,0.0292226,0.00974088,0.0292226,0.00974088,0.0292226,0.00974088,0.0292226,0.00974088
8,4979.57,1.1811,0.85257,1.18112,0.7787,0.75267,0.79395,0.49346,1.24528,0.78978,1.40749,0.0289453,0.00964843,0.0289453,0.00964843,0.0289453,0.00964843,0.0289453,0.00964843
9,5578.13,1.16129,0.82631,1.16933,0.79263,0.75958,0.81258,0.50734,1.22267,0.73982,1.37948,0.0286275,0.0095425,0.0286275,0.0095425,0.0286275,0.0095425,0.0286275,0.0095425
10,6174.76,1.14518,0.79858,1.1574,0.79293,0.7753,0.81671,0.51616,1.2107,0.72347,1.35759,0.0283272,0.00944239,0.0283272,0.00944239,0.0283272,0.00944239,0.0283272,0.00944239
11,6772.26,1.12555,0.77926,1.14703,0.80447,0.76559,0.81633,0.51523,1.20658,0.72439,1.35904,0.0279441,0.00931469,0.0279441,0.00931469,0.0279441,0.00931469,0.0279441,0.00931469
12,7367.98,1.12289,0.77867,1.14976,0.81244,0.76907,0.82721,0.52621,1.19778,0.71351,1.37337,0.0275247,0.0091749,0.0275247,0.0091749,0.0275247,0.0091749,0.0275247,0.0091749
13,7962.25,1.10516,0.75846,1.14076,0.80791,0.77461,0.83126,0.5282,1.19078,0.69449,1.36217,0.0270703,0.00902342,0.0270703,0.00902342,0.0270703,0.00902342,0.0270703,0.00902342
14,8555.65,1.10569,0.75222,1.14151,0.80425,0.79918,0.83837,0.53759,1.19059,0.6919,1.3425,0.026582,0.00886068,0.026582,0.00886068,0.026582,0.00886068,0.026582,0.00886068
15,9148.86,1.08919,0.73328,1.1329,0.8109,0.80526,0.84623,0.5435,1.18754,0.68296,1.34707,0.0260614,0.00868713,0.0260614,0.00868713,0.0260614,0.00868713,0.0260614,0.00868713
16,9740.84,1.07447,0.71946,1.13026,0.81422,0.80142,0.84833,0.54266,1.17439,0.67529,1.34239,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
17,10334.7,1.06772,0.70972,1.12139,0.81903,0.80066,0.84584,0.5487,1.17746,0.66967,1.34801,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
18,10928.8,1.05947,0.70273,1.11801,0.81701,0.81294,0.85876,0.55707,1.16306,0.66111,1.3218,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
19,11523.6,1.04921,0.68965,1.11009,0.81717,0.80834,0.85856,0.55903,1.16991,0.65967,1.33797,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
20,12118.5,1.05012,0.69012,1.11195,0.82153,0.81425,0.85783,0.55751,1.16321,0.65643,1.3303,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
21,12712.8,1.03727,0.67841,1.10522,0.82536,0.81959,0.8647,0.56118,1.16555,0.65398,1.32582,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,13308,1.02732,0.66397,1.09714,0.81896,0.82335,0.86317,0.56657,1.15843,0.64833,1.31468,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
23,13903,1.02545,0.66688,1.10129,0.82831,0.81614,0.86375,0.56889,1.14868,0.64167,1.30809,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
24,14497,1.01997,0.65722,1.09606,0.83405,0.82091,0.86615,0.56657,1.14897,0.63473,1.31807,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
25,15090.6,1.01525,0.65183,1.09929,0.83381,0.8214,0.8649,0.56973,1.15288,0.63437,1.31907,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
26,15684.5,1.00524,0.64079,1.09025,0.82834,0.82972,0.86913,0.57592,1.14582,0.62941,1.29707,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
27,16279,1.00066,0.63304,1.08848,0.82893,0.83309,0.86862,0.5752,1.14561,0.63115,1.32614,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
28,16872.7,0.99539,0.62995,1.08565,0.83166,0.83086,0.86655,0.57565,1.14276,0.62484,1.30784,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
29,17466.2,0.98398,0.61702,1.07997,0.82665,0.83691,0.86748,0.57824,1.13766,0.6192,1.3106,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
30,18060.3,0.97752,0.60932,1.07764,0.83766,0.8337,0.87003,0.58076,1.13903,0.62588,1.32193,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
31,18654.8,0.97379,0.60956,1.07596,0.8274,0.83897,0.86574,0.57931,1.13291,0.62374,1.31174,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,19248.9,0.97002,0.6016,1.07254,0.82906,0.83517,0.86827,0.57986,1.13396,0.62445,1.3016,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
33,19843.1,0.96909,0.59684,1.07278,0.84034,0.83191,0.86995,0.58275,1.13556,0.61898,1.2973,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
