epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9856,2.28556,3.33958,1.85593,0.2524,0.29154,0.21526,0.0939,1.58622,1.76953,1.31862,0.000833,0.000833,0.000833
2,96.5445,1.82985,1.74786,1.48432,0.5259,0.35042,0.29313,0.12288,1.54195,1.7319,1.27547,0.000832178,0.000832178,0.000832178
3,139.811,1.78131,1.57169,1.45613,0.49158,0.42821,0.44927,0.22452,1.44736,1.49013,1.23424,0.000829716,0.000829716,0.000829716
4,181.699,1.71851,1.46426,1.43538,0.62024,0.4089,0.49272,0.26115,1.48932,1.51938,1.26151,0.000825623,0.000825623,0.000825623
5,223.873,1.68022,1.40655,1.41112,0.51789,0.44742,0.48444,0.25357,1.49656,1.4922,1.27146,0.000819916,0.000819916,0.000819916
6,265.902,1.65928,1.3569,1.41886,0.59106,0.45246,0.51407,0.26142,1.48463,1.46621,1.25187,0.000812617,0.000812617,0.000812617
7,307.921,1.63556,1.30935,1.39918,0.58309,0.51624,0.50882,0.25613,1.48452,1.47725,1.27363,0.000803755,0.000803755,0.000803755
8,349.914,1.61264,1.27754,1.38825,0.6412,0.49553,0.53156,0.27674,1.48754,1.44278,1.2733,0.000793364,0.000793364,0.000793364
9,391.811,1.60531,1.23851,1.38918,0.61214,0.41137,0.46977,0.22136,1.55956,1.64664,1.30442,0.000781487,0.000781487,0.000781487
10,433.87,1.56205,1.21723,1.3744,0.63228,0.48999,0.50425,0.23968,1.52969,1.42972,1.29748,0.000768169,0.000768169,0.000768169
11,475.635,1.55699,1.18623,1.36132,0.62729,0.50886,0.52537,0.26023,1.49458,1.45239,1.28837,0.000753464,0.000753464,0.000753464
12,517.553,1.54495,1.16716,1.35543,0.59131,0.50927,0.52168,0.26748,1.51245,1.41342,1.29241,0.000737428,0.000737428,0.000737428
13,559.332,1.5349,1.14916,1.35225,0.63052,0.48988,0.51865,0.26838,1.46476,1.41677,1.26912,0.000720127,0.000720127,0.000720127
14,601.215,1.51454,1.12588,1.34513,0.59303,0.51412,0.50464,0.27078,1.51938,1.38691,1.30965,0.000701627,0.000701627,0.000701627
15,643.062,1.50878,1.12031,1.33142,0.64579,0.49759,0.53729,0.28928,1.48825,1.34347,1.29227,0.000682002,0.000682002,0.000682002
16,685.239,1.50286,1.07965,1.32434,0.62012,0.50839,0.50258,0.26443,1.52478,1.38478,1.32237,0.00066133,0.00066133,0.00066133
17,727.061,1.46066,1.04334,1.30823,0.60398,0.51936,0.51544,0.26186,1.57397,1.49019,1.36054,0.000639691,0.000639691,0.000639691
18,768.981,1.47139,1.04166,1.31877,0.61205,0.48785,0.49112,0.23663,1.63931,1.58672,1.41092,0.000617172,0.000617172,0.000617172
19,810.802,1.43746,1.00243,1.30446,0.65622,0.485,0.50911,0.24139,1.56719,1.48939,1.3618,0.000593861,0.000593861,0.000593861
20,852.94,1.42765,0.99508,1.2982,0.68239,0.49837,0.49121,0.24526,1.56479,1.51444,1.37168,0.00056985,0.00056985,0.00056985
21,894.619,1.41254,0.99518,1.28917,0.6139,0.51133,0.46968,0.22298,1.63454,1.51199,1.41707,0.000545234,0.000545234,0.000545234
22,936.513,1.41383,0.95625,1.29393,0.6191,0.50873,0.47636,0.23853,1.61396,1.49832,1.41722,0.000520111,0.000520111,0.000520111
23,978.228,1.40574,0.94273,1.2763,0.62799,0.46763,0.46308,0.22241,1.62628,1.55164,1.43121,0.000494578,0.000494578,0.000494578
24,1020.15,1.36843,0.93706,1.27065,0.64931,0.48098,0.48053,0.22499,1.68741,1.57414,1.48509,0.000468738,0.000468738,0.000468738
25,1061.96,1.35617,0.91458,1.25902,0.63524,0.51047,0.48761,0.24617,1.62376,1.47247,1.43106,0.000442691,0.000442691,0.000442691
26,1103.9,1.33859,0.89265,1.25073,0.61956,0.49507,0.466,0.21602,1.70709,1.61603,1.50006,0.000416542,0.000416542,0.000416542
27,1145.66,1.34263,0.89441,1.25059,0.65639,0.51156,0.47978,0.23277,1.66458,1.5198,1.46579,0.000390392,0.000390392,0.000390392
28,1187.67,1.32195,0.88772,1.23601,0.5898,0.51175,0.46484,0.20262,1.73845,1.67995,1.55127,0.000364346,0.000364346,0.000364346
29,1229.44,1.31003,0.86755,1.23169,0.62517,0.52165,0.47587,0.23476,1.6685,1.54226,1.48162,0.000338505,0.000338505,0.000338505
30,1271.46,1.31128,0.85214,1.23543,0.63527,0.50746,0.48677,0.23783,1.67342,1.5673,1.46902,0.000312973,0.000312973,0.000312973
